name,description,calories,price,cusinetype
Chicken Gyro Plate,"Sliced chicken with pita, salad, and tzatziki",620,13.49,Greek
Lamb Gyro Pita,Lamb slices wrapped in pita with tzatziki,590,11.99,Greek
Greek Village Salad,"Tomatoes, cucumber, olives, and feta cheese",320,9.99,Greek
Moussaka,Baked eggplant and meat casserole with béchamel,640,14.49,Greek
Pastitsio,Greek baked pasta with ground beef and béchamel,680,13.99,Greek
Saganaki Cheese,Pan-fried kefalotyri cheese with lemon,420,10.49,Greek
Dolmades,Grape leaves stuffed with rice and herbs,280,8.99,Greek
Tzatziki Dip with Pita,Yogurt cucumber dip with warm pita bread,260,7.99,Greek
Feta and Olive Platter,Marinated feta cheese with olives and herbs,320,9.99,Greek
Lamb Kleftiko,Slow-roasted lamb with garlic and herbs,720,19.99,Greek
Chicken Souvlaki Wrap,Skewered chicken pieces in pita,540,10.99,Greek
Lentil Soup Greek Style,Hearty lentil soup with olive oil,260,7.99,Greek
Gigantes Plaki,Baked giant beans in tomato sauce,380,9.99,Greek
Spanakopita Triangles,Spinach and feta filo pastry pieces,420,9.49,Greek
Bifteki Stuffed Burgers,Greek-style beef patties with cheese filling,680,14.49,Greek
Grilled Octopus,Charred octopus with lemon and olive oil,420,18.49,Greek
Calamari with Lemon,Fried squid rings with garlic dip,480,12.49,Greek
Horiatiki Flatbread,Flatbread topped with tomatoes and feta,380,10.49,Greek
Chicken Lemonato,Roasted chicken with lemon and potatoes,640,14.49,Greek
Greek Meatballs Keftedes,Fried meatballs with herbs and spices,520,11.99,Greek
Baklava Slice,Layered filo pastry with nuts and honey syrup,380,6.99,Greek
Galaktoboureko,Custard-filled filo pastry with syrup,360,7.49,Greek
Loukoumades,Greek honey-soaked doughnut bites,340,6.99,Greek
Yogurt with Honey and Nuts,Greek yogurt topped with honey and walnuts,280,6.49,Greek
Stuffed Peppers and Tomatoes,Vegetables filled with rice and herbs,460,11.49,Greek
Fava Santorini,Yellow split pea puree with onions and capers,260,8.99,Greek
Grilled Lamb Chops,Charcoal-grilled lamb chops with herbs,780,21.99,Greek
Greek Fries with Feta,Seasoned fries topped with crumbled feta,420,7.99,Greek
Chicken Orzo Soup,Light chicken soup with orzo pasta,260,7.49,Greek
Halva Semolina Dessert,Sweet semolina pudding with nuts and spices,320,6.99,Greek
Feijoada,Black bean stew with pork and sausage,780,16.49,Brazilian
Picanha Steak,Grilled top sirloin cap with garlic,820,22.99,Brazilian
Moqueca de Peixe,Coconut fish stew with peppers and cilantro,640,18.49,Brazilian
Coxinha Chicken Croquettes,Fried dough filled with shredded chicken,420,8.99,Brazilian
Pão de Queijo Basket,Chewy Brazilian cheese bread balls,320,7.49,Brazilian
Churrasco Mixed Grill,Assorted grilled meats Brazilian style,900,24.99,Brazilian
Frango Grelhado,Grilled chicken breast with herbs,620,14.49,Brazilian
Linguiça Sausage Plate,Grilled Brazilian sausage with farofa,700,15.99,Brazilian
Vatapá Shrimp Stew,"Shrimp stew with bread, peanuts, and coconut",620,17.49,Brazilian
Arroz e Feijão,White rice served with seasoned black beans,420,9.49,Brazilian
Farofa Toasted Cassava Flour,Toasted cassava flour with bacon bits,260,6.99,Brazilian
Bolinhos de Bacalhau,Codfish fritters with parsley and potato,380,9.99,Brazilian
Pastel de Carne,Fried pastry stuffed with seasoned beef,420,8.99,Brazilian
Salada de Palmito,Heart of palm salad with tomatoes,260,10.49,Brazilian
Escondidinho de Carne Seca,Creamy mashed cassava over dried beef,680,16.99,Brazilian
Açaí Bowl Tradicional,Frozen açaí topped with granola and banana,380,9.99,Brazilian
Brigadeiro Truffles,Chocolate fudge truffles rolled in sprinkles,260,5.99,Brazilian
Quindim,Baked coconut and egg yolk dessert,300,6.49,Brazilian
Mousse de Maracujá,Passion fruit mousse dessert,280,6.99,Brazilian
Feijão Tropeiro,"Beans sautéed with sausage, bacon, and eggs",720,15.49,Brazilian
Carne de Sol com Mandioca,Salted beef with boiled cassava,690,17.49,Brazilian
Moela de Frango Guisada,Stewed chicken gizzards with spices,540,13.99,Brazilian
Caldo Verde Brasileiro,Green soup with collards and sausage,320,9.49,Brazilian
Empadão de Frango,Savory chicken pie with flaky crust,640,13.99,Brazilian
Tapioca Crepe de Coco,Tapioca crepe filled with coconut and cheese,360,8.49,Brazilian
Salpicão de Frango,Brazilian chicken salad with veggies and mayo,480,11.49,Brazilian
Bife Acebolado,Pan-fried steak with caramelized onions,720,16.49,Brazilian
Doce de Leite Flan,Creamy caramel milk flan,340,6.99,Brazilian
Romeu e Julieta,Guava paste served with cheese,280,5.99,Brazilian
Caipirinha Mocktail,Lime and sugar non-alcoholic refresher,160,4.99,Brazilian
Adana Kebab,Spicy minced lamb skewer with grilled peppers,720,16.49,Turkish
Iskender Kebab,Doner meat over bread with tomato and yogurt,780,17.49,Turkish
Doner Kebab Wrap,Thinly sliced meat in flatbread with salad,620,11.99,Turkish
Lahmacun,Thin Turkish flatbread topped with minced meat,540,10.49,Turkish
Pide with Cheese,Boat-shaped flatbread with melted cheese,580,11.49,Turkish
Menemen,Scrambled eggs with tomatoes and peppers,380,9.49,Turkish
Mercimek Çorbası,Red lentil soup with lemon,260,7.49,Turkish
Kuru Fasulye,White bean stew in tomato sauce,420,9.99,Turkish
Pilav Rice Side,Buttery Turkish rice with vermicelli,260,5.49,Turkish
Sigara Böreği,Crispy pastry rolls filled with feta cheese,320,8.49,Turkish
Köfte Meatballs,Grilled spiced meat patties,580,13.49,Turkish
Tavuk Şiş,Marinated chicken skewers with rice,620,14.49,Turkish
Hünkâr Beğendi,Lamb stew served over smoked eggplant puree,690,18.49,Turkish
Imam Bayıldı,Stuffed eggplant with onion and tomato,420,11.49,Turkish
Ezme Salad,Spicy mashed tomato and pepper salad,220,7.99,Turkish
Gözleme with Spinach and Cheese,Griddled flatbread with spinach and feta,480,10.99,Turkish
Dolma Stuffed Peppers,Peppers filled with rice and spices,460,11.49,Turkish
Kumpir Stuffed Baked Potato,Loaded baked potato with various fillings,640,10.99,Turkish
Baklava Pistachio Slice,Layered pastry with pistachios and syrup,380,6.99,Turkish
Künefe,Sweet cheese pastry soaked in syrup,420,7.99,Turkish
Sütlaç Rice Pudding,Oven-baked rice pudding with cinnamon,310,6.49,Turkish
Revani Semolina Cake,Citrus-flavored semolina cake with syrup,320,6.49,Turkish
Simit Sesame Bread Ring,Chewy sesame-crusted bread ring,280,4.49,Turkish
Turkish Breakfast Plate,"Assortment of cheese, olives, egg, and bread",540,14.49,Turkish
Acılı Ezme Meze,Spicy tomato and pepper dip with olive oil,230,7.99,Turkish
Bulgur Pilaf,Cracked wheat pilaf with tomato and peppers,320,7.99,Turkish
Çoban Salad,"Shepherd’s salad with tomato, cucumber, and onion",260,8.49,Turkish
Manti Turkish Dumplings,Small dumplings with yogurt and butter sauce,540,13.99,Turkish
Tantuni Wrap,Thinly sliced sautéed beef in lavash,560,11.99,Turkish
Turkish Delight Selection,Assorted soft sugar-dusted confections,260,5.99,Turkish
